participant_id,test_id,block_number,ball_number,timestamp,ball_position_x,ball_position_y,ball_position_z,shortest_path_normalized_x,shortest_path_normalized_y,shortest_path_normalized_z,look_direction_normalized_x,look_direction_normalized_y,look_direction_normalized_z,result_location_x,result_location_y,result_location_z,target_type,distance_to_closest_target,smi_camera_raycast_x,smi_camera_raycast_y,smi_camera_raycast_z,smi_binocular_por_x,smi_binocular_por_y,smi_binocular_por_is_valid,smi_ipd,smi_ipd_is_valid,smi_left_por_x,smi_left_por_y,smi_left_por_is_valid,smi_right_por_x,smi_right_por_y,smi_right_por_is_valid,smi_left_basepoint_x,smi_left_basepoint_y,smi_left_basepoint_z,smi_left_basepoint_is_valid,smi_right_basepoint_x,smi_right_basepoint_y,smi_right_basepoint_z,smi_right_basepoint_is_valid,smi_left_gazedirection_x,smi_left_gazedirection_y,smi_left_gazedirection_z,smi_left_gazedirection_is_valid,smi_right_gazedirection_x,smi_right_gazedirection_y,smi_right_gazedirection_z,smi_right_gazedirection_is_valid,tobii_gazeray_isvalid,tobii_gazeray_origin_x,tobii_gazeray_origin_y,tobii_gazeray_origin_z,tobii_gazeray_direction_x,tobii_gazeray_direction_y,tobii_gazeray_direction_z,tobii_left_pupil_isvalid,tobii_left_pupildiameter,tobii_left_ray_isvalid,tobii_left_ray_origin_x,tobii_left_ray_origin_y,tobii_left_ray_origin_z,tobii_left_ray_direction_x,tobii_left_ray_direction_y,tobii_left_ray_direction_z,tobii_right_pupil_isvalid,tobii_right_pupildiameter,tobii_right_ray_isvalid,tobii_right_ray_origin_x,tobii_right_ray_origin_y,tobii_right_ray_origin_z,tobii_right_ray_direction_x,tobii_right_ray_direction_y,tobii_right_ray_direction_z,participant_head_position_x,participant_head_position_y,participant_head_position_z,participant_head_rotation_x,participant_head_rotation_y,participant_head_rotation_z,racket_knob_position_x,racket_knob_position_y,racket_knob_position_z,racket_knob_rotation_x,racket_knob_rotation_y,racket_knob_rotation_z
1,2,2,1,6.3806E+13,0.00626,2.054849,11.7249,-0.004017,0.012414,0.999915,0.019204,-0.092103,0.995564,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.1023313,1.76664,-11.76237,-0.01645234,0.05927261,0.9981007,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.100612,1.763245,-11.76323,5.284605,1.105045,0.1728665,0.2573904,1.107827,-11.63451,338.1217,1.526097,11.13081
1,2,2,1,6.3806E+13,0.01252,2.108488,11.5598,-0.003775,0.014799,0.999883,0.018972,-0.091488,0.995625,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.100824,1.766685,-11.76273,-0.01694804,0.05893916,0.9981114,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1005743,1.763279,-11.7635,5.249219,1.091666,0.193573,0.2574116,1.107858,-11.6347,338.0327,1.646772,11.33469
1,2,2,1,6.3806E+13,0.01878,2.160915,11.3947,-0.003539,0.017165,0.999846,0.018427,-0.09095,0.995685,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09905566,1.766679,-11.76314,-0.01649242,0.05903211,0.9981168,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1007455,1.763336,-11.76388,5.218281,1.06026,0.204232,0.2573579,1.107715,-11.63505,337.8315,1.828348,11.35931
1,2,2,1,6.3806E+13,0.025041,2.212131,11.2296,-0.003301,0.019514,0.999804,0.018028,-0.090213,0.995759,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09652691,1.766674,-11.76337,-0.01705971,0.05934239,0.9980751,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1009575,1.763346,-11.76429,5.175848,1.037237,0.1851809,0.2573181,1.107278,-11.63513,337.5507,1.977878,11.01338
1,2,2,1,6.3806E+13,0.031301,2.262136,11.0645,-0.003052,0.02184,0.999757,0.017757,-0.089644,0.995816,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.0888791,1.766498,-11.76373,-0.01520767,0.05696753,0.9982455,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1009813,1.763422,-11.76459,5.143133,1.02154,0.1661144,0.2576725,1.107361,-11.63523,337.3791,1.981197,10.5832
1,2,2,1,6.3806E+13,0.037561,2.31093,10.89939,-0.0028,0.024147,0.999704,0.017749,-0.088549,0.995914,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.08690115,1.766473,-11.76411,-0.01584426,0.05536059,0.998331,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1010394,1.763497,-11.76486,5.080163,1.021019,0.1383647,0.2581001,1.107181,-11.63517,336.8109,1.549628,10.25069
1,2,2,1,6.3806E+13,0.043821,2.358513,10.73429,-0.002546,0.026432,0.999647,0.01771,-0.087429,0.996013,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.08665394,1.766479,-11.76455,-0.01598651,0.05614309,0.9982817,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1011289,1.763606,-11.76509,5.015739,1.018647,0.1072273,0.2581127,1.107643,-11.63502,337.2714,1.805989,10.45089
1,2,2,1,6.3806E+13,0.050081,2.404885,10.56919,-0.002286,0.028696,0.999586,0.017892,-0.086311,0.996108,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09182701,1.766728,-11.7649,-0.01569738,0.05538323,0.9983294,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1011613,1.763707,-11.76532,4.951426,1.029036,0.09879486,0.2581102,1.10795,-11.63506,337.2947,1.78827,10.54534
1,2,2,1,6.3806E+13,0.056341,2.450045,10.40409,-0.002028,0.030945,0.999519,0.018379,-0.085055,0.996207,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.09110069,1.766805,-11.76527,-0.01477279,0.05369711,0.998437,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1013247,1.76368,-11.76572,4.879168,1.056947,0.09794398,0.2583212,1.107873,-11.63527,337.3279,1.810634,10.56082
1,2,2,1,6.3806E+13,0.062601,2.493995,10.23899,-0.001766,0.033166,0.999448,0.018153,-0.084193,0.996284,0,0,0,Not_Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0.08818976,1.766795,-11.76559,-0.01522834,0.05452654,0.9983851,TRUE,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0.1014824,1.763783,-11.76583,4.829643,1.043868,0.108511,0.2584729,1.1082,-11.63504,337.3394,1.89259,10.44253
